age,age group,eligible,job,salary,marital,education,marital-education,targeted,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,response
63,7,Y,admin.,60000,married,tertiary,divorced-secondary,yes,yes,7612,yes,no,telephone,29,jul,481,1,50,5,unknown,no,1
89,2,N,retired,0,married,secondary,single-tertiary,no,yes,19706,yes,no,telephone,21,feb,1153,26,337,19,unknown,yes,0
67,6,Y,retired,50000,divorced,primary,single-primary,yes,no,-612,yes,yes,cellular,5,oct,795,10,294,23,failure,no,0
70,1,Y,technician,0,married,tertiary,divorced-unknown,no,yes,20187,no,yes,cellular,22,jun,847,18,17,41,failure,yes,0
59,1,Y,self-employed,55000,married,unknown,divorced-secondary,no,no,6095,yes,yes,unknown,24,sep,1992,29,221,28,other,no,0
75,4,N,student,4000,divorced,unknown,married-tertiary,no,yes,1745,no,no,telephone,19,dec,3785,44,550,58,unknown,no,1
20,7,Y,blue-collar,4000,single,primary,single-secondary,yes,no,3050,yes,yes,unknown,31,oct,47,21,651,4,other,yes,0
40,4,Y,student,16000,single,tertiary,married-tertiary,yes,yes,1019,no,no,telephone,2,jun,370,9,45,38,success,no,1
40,1,N,self-employed,20000,married,tertiary,single-tertiary,no,yes,-490,yes,no,cellular,31,dec,1040,39,38,8,failure,no,1
27,8,N,retired,16000,married,primary,divorced-primary,no,yes,951,no,no,unknown,10,nov,915,39,414,12,unknown,no,1
94,6,Y,admin.,60000,single,unknown,single-secondary,no,no,290,no,yes,telephone,1,may,148,8,74,27,other,no,1
52,3,N,unemployed,4000,single,tertiary,single-unknown,no,yes,8883,no,yes,unknown,23,aug,581,27,544,26,unknown,yes,0
61,8,N,management,4000,single,tertiary,single-unknown,yes,no,3508,no,yes,unknown,7,feb,692,33,36,51,success,yes,0
48,9,Y,self-employed,60000,married,unknown,married-unknown,yes,no,-392,no,no,telephone,28,mar,1039,51,341,30,unknown,no,0
77,5,N,unemployed,70000,married,primary,single-unknown,yes,yes,7025,no,no,telephone,16,jul,1277,18,223,4,other,no,0
31,2,Y,unemployed,0,divorced,tertiary,married-unknown,yes,yes,4173,no,yes,cellular,16,mar,471,7,778,35,failure,no,1
46,2,Y,housemaid,0,divorced,secondary,single-unknown,no,no,4961,no,yes,cellular,26,nov,122,4,226,38,success,no,0
51,2,Y,unemployed,55000,single,tertiary,single-primary,no,yes,5705,yes,yes,cellular,19,aug,381,10,361,41,unknown,no,0
35,7,Y,housemaid,55000,single,tertiary,single-secondary,no,no,1282,yes,no,telephone,18,apr,409,39,396,2,success,no,1
57,8,N,entrepreneur,55000,divorced,tertiary,divorced-unknown,yes,yes,4344,no,no,telephone,13,aug,144,19,779,14,failure,yes,0
26,3,N,self-employed,60000,married,secondary,married-secondary,yes,no,777,yes,no,telephone,12,aug,2241,9,311,17,other,no,0
53,4,Y,retired,50000,divorced,unknown,married-unknown,yes,yes,-399,no,no,cellular,7,may,725,23,667,21,failure,yes,1
70,6,Y,blue-collar,70000,single,tertiary,married-primary,yes,no,7114,yes,yes,telephone,5,jun,809,26,324,19,failure,yes,1
87,8,N,unknown,120000,single,tertiary,divorced-secondary,yes,yes,-597,yes,yes,cellular,29,apr,1147,27,19,35,success,yes,1
55,1,Y,blue-collar,16000,divorced,primary,married-secondary,no,yes,4039,no,no,cellular,11,mar,995,55,242,8,failure,yes,1
73,5,N,technician,8000,single,tertiary,divorced-primary,yes,no,31630,yes,no,telephone,20,feb,1469,50,294,38,unknown,yes,1
93,2,Y,housemaid,55000,single,secondary,married-tertiary,no,no,3160,yes,no,cellular,7,dec,575,15,14,23,other,yes,0
40,2,N,management,20000,divorced,unknown,married-unknown,yes,no,14004,no,no,telephone,17,apr,1268,22,174,19,unknown,yes,1
47,6,N,retired,16000,married,tertiary,married-tertiary,no,no,5774,no,no,cellular,12,aug,1790,17,491,29,success,no,0
39,1,N,unknown,120000,single,unknown,single-primary,no,no,4477,yes,yes,unknown,27,nov,148,39,159,6,success,yes,0
87,3,Y,unknown,60000,single,primary,divorced-unknown,no,yes,4404,yes,no,telephone,26,mar,1193,8,532,10,failure,yes,1
42,5,N,entrepreneur,55000,divorced,unknown,single-tertiary,yes,no,6134,yes,no,unknown,25,apr,230,35,449,22,failure,yes,1
29,4,Y,unemployed,20000,married,secondary,divorced-secondary,no,no,5437,yes,no,cellular,25,mar,238,1,686,5,success,yes,1
26,8,N,entrepreneur,55000,divorced,secondary,divorced-primary,no,no,-112,yes,yes,unknown,6,sep,496,2,511,58,success,no,0
39,6,Y,services,100000,single,tertiary,divorced-unknown,yes,no,618,no,yes,cellular,2,may,611,11,60,8,unknown,yes,0
43,4,Y,blue-collar,0,divorced,secondary,married-unknown,yes,yes,-378,no,yes,cellular,30,may,742,43,101,9,success,yes,1
93,5,Y,blue-collar,55000,married,primary,single-tertiary,no,yes,1137,no,no,telephone,20,sep,1109,36,324,14,unknown,yes,0
50,2,Y,housemaid,100000,married,tertiary,single-unknown,yes,no,-1099,yes,no,telephone,23,sep,231,23,295,2,other,no,0
83,2,Y,unemployed,100000,single,tertiary,single-unknown,yes,yes,4248,no,yes,unknown,12,dec,617,9,84,29,success,no,1
44,6,N,entrepreneur,50000,single,unknown,single-secondary,yes,yes,380,yes,no,cellular,4,sep,1098,11,242,16,success,yes,1
94,2,Y,student,4000,married,secondary,single-unknown,yes,yes,2281,no,no,unknown,14,apr,904,22,68,19,other,yes,0
71,4,N,unknown,4000,single,primary,married-unknown,yes,yes,1579,yes,yes,cellular,1,oct,335,10,535,38,failure,no,1
84,4,N,services,60000,married,tertiary,single-unknown,no,no,3622,yes,yes,unknown,22,feb,1352,15,15,9,unknown,yes,0
64,9,Y,management,4000,divorced,tertiary,married-unknown,yes,yes,-1034,no,yes,telephone,27,may,1309,31,776,4,success,yes,0
74,7,Y,student,100000,married,primary,married-tertiary,yes,no,2176,yes,yes,unknown,8,sep,1347,23,91,55,success,yes,0
22,4,N,student,20000,divorced,unknown,single-primary,no,no,9608,yes,yes,telephone,20,dec,444,22,318,17,failure,no,0
32,7,N,unknown,100000,married,tertiary,married-unknown,yes,yes,11862,no,yes,cellular,30,may,989,38,850,40,success,no,0
31,3,N,retired,100000,single,secondary,divorced-unknown,no,no,2795,yes,yes,telephone,26,oct,1290,44,717,30,unknown,no,0
49,1,N,housemaid,100000,single,unknown,single-primary,yes,no,2218,no,yes,unknown,21,may,846,13,536,35,failure,yes,1
21,8,N,admin.,60000,divorced,primary,single-unknown,no,no,2463,yes,no,unknown,17,jun,657,51,526,12,failure,yes,1
53,2,N,self-employed,8000,married,tertiary,single-tertiary,no,yes,-569,no,no,telephone,3,may,1144,8,462,32,failure,yes,0
80,6,Y,unemployed,50000,divorced,tertiary,divorced-tertiary,no,yes,6840,yes,no,unknown,18,jun,778,2,398,35,success,no,0
65,7,Y,services,70000,married,secondary,married-unknown,yes,yes,-181,yes,no,unknown,13,jun,3322,44,208,16,success,yes,1
63,8,Y,self-employed,0,single,tertiary,divorced-primary,no,yes,1424,yes,no,unknown,16,may,1109,30,314,12,success,no,0
22,6,N,services,4000,divorced,primary,married-unknown,yes,yes,7982,no,no,cellular,23,mar,1036,23,160,32,unknown,yes,1
50,1,N,unknown,50000,married,secondary,single-tertiary,no,yes,1293,no,no,unknown,20,oct,633,24,472,2,other,no,1
19,6,N,retired,55000,married,unknown,married-secondary,yes,no,3941,yes,yes,cellular,26,apr,532,36,181,15,failure,yes,0
41,5,N,blue-collar,50000,married,primary,divorced-secondary,yes,no,3144,no,no,unknown,31,dec,12,33,81,8,unknown,yes,0
79,8,N,technician,60000,single,primary,single-secondary,yes,yes,1181,yes,yes,unknown,29,jan,1153,31,415,32,success,yes,1
35,2,N,technician,70000,single,tertiary,married-tertiary,no,yes,-741,yes,yes,cellular,21,nov,88,5,247,275,success,yes,0
93,5,Y,student,60000,single,unknown,divorced-tertiary,yes,no,593,yes,no,unknown,21,mar,235,33,186,38,other,yes,0
49,9,Y,self-employed,50000,single,tertiary,married-primary,no,no,20806,no,yes,telephone,31,feb,222,21,248,28,unknown,no,0
70,1,N,services,55000,single,primary,married-unknown,no,no,6209,no,no,telephone,7,jun,825,30,250,41,failure,yes,1
49,2,N,entrepreneur,60000,single,primary,single-tertiary,no,yes,1229,no,no,cellular,3,dec,1249,15,367,1,other,no,1
64,3,N,student,20000,divorced,primary,married-tertiary,yes,no,1878,yes,yes,unknown,20,mar,217,17,306,38,unknown,yes,0
80,3,Y,entrepreneur,8000,married,tertiary,divorced-secondary,no,yes,50,no,yes,unknown,28,apr,72,37,41,21,unknown,no,0
49,4,N,technician,55000,single,primary,single-tertiary,no,no,242,yes,no,cellular,15,jul,455,12,3,13,other,no,0
73,4,N,unknown,8000,single,tertiary,single-tertiary,no,no,2129,no,yes,unknown,10,mar,287,25,826,17,success,yes,0
55,3,N,self-employed,0,divorced,primary,married-secondary,no,yes,7685,no,no,cellular,18,may,999,33,579,21,failure,yes,0
48,8,N,unemployed,100000,married,secondary,single-tertiary,no,no,1014,yes,yes,telephone,4,mar,182,31,115,13,unknown,no,0
33,9,N,unemployed,4000,married,secondary,divorced-unknown,yes,no,2682,yes,no,unknown,24,sep,618,35,191,21,unknown,yes,0
37,2,Y,admin.,70000,single,tertiary,married-primary,yes,no,1543,no,no,unknown,19,feb,799,1,100,6,other,no,1
78,9,Y,student,8000,single,tertiary,single-unknown,yes,yes,17672,yes,yes,cellular,15,feb,1528,46,12,30,unknown,no,0
24,6,Y,admin.,100000,single,unknown,single-secondary,no,no,6205,yes,yes,telephone,25,jun,1124,14,500,19,unknown,no,1
61,2,Y,admin.,70000,divorced,secondary,single-tertiary,yes,yes,8600,yes,yes,telephone,21,aug,965,55,93,21,failure,yes,1
61,9,N,technician,4000,divorced,tertiary,single-unknown,no,yes,-115,yes,no,telephone,31,may,220,23,208,6,success,yes,1
60,9,Y,retired,50000,married,primary,divorced-primary,no,no,11222,no,yes,telephone,5,jun,1217,43,193,5,other,yes,0
28,4,Y,blue-collar,16000,married,secondary,single-primary,no,no,-985,no,no,telephone,10,jun,1602,30,357,30,success,no,1
67,5,N,services,16000,single,secondary,married-primary,yes,yes,5314,yes,yes,unknown,3,aug,235,38,236,2,unknown,no,0
59,4,Y,unknown,100000,single,tertiary,single-primary,no,yes,12223,no,no,cellular,21,nov,223,58,500,9,unknown,yes,1
25,9,N,retired,0,single,secondary,married-unknown,no,no,5338,yes,yes,telephone,17,oct,905,50,256,58,failure,yes,1
40,6,Y,student,8000,married,unknown,married-primary,no,yes,12839,no,no,cellular,6,aug,27,18,77,37,other,yes,1
94,9,N,services,70000,divorced,primary,single-primary,no,no,-675,yes,yes,cellular,10,may,466,34,422,38,other,no,0
38,7,Y,unknown,120000,divorced,unknown,married-primary,yes,no,2322,yes,yes,telephone,19,may,31,32,22,9,unknown,no,1
21,6,N,services,16000,married,primary,divorced-tertiary,yes,no,5467,yes,yes,telephone,25,feb,988,31,440,22,failure,yes,0
39,2,N,technician,16000,married,primary,married-tertiary,no,yes,6529,no,yes,telephone,29,jan,1109,20,39,18,success,no,0
80,9,Y,services,0,divorced,unknown,divorced-unknown,no,no,2419,no,no,telephone,9,dec,1140,14,452,20,success,yes,1
92,9,N,student,100000,married,tertiary,divorced-secondary,yes,no,1483,no,yes,telephone,13,feb,1200,30,163,275,success,no,0
29,4,Y,unknown,16000,married,tertiary,married-secondary,no,no,1395,yes,yes,telephone,22,nov,116,32,337,35,failure,yes,0
56,3,Y,unknown,20000,married,secondary,divorced-secondary,yes,yes,834,no,yes,cellular,25,sep,1224,8,311,24,failure,no,0
56,9,N,unknown,100000,married,secondary,married-primary,yes,no,1103,no,yes,cellular,1,may,444,30,430,2,unknown,yes,1
75,7,N,services,4000,single,primary,single-primary,no,no,571,no,yes,cellular,29,jan,1020,15,27,275,other,no,1
79,2,N,management,8000,married,tertiary,divorced-tertiary,no,yes,6904,no,yes,cellular,2,jan,377,7,187,8,other,no,1
92,7,N,services,50000,married,primary,single-unknown,no,yes,5874,no,yes,cellular,30,sep,1263,36,404,23,success,yes,1
43,1,Y,admin.,8000,married,primary,single-secondary,yes,yes,5996,yes,yes,telephone,17,jul,1550,43,61,16,success,no,1
40,9,N,student,8000,divorced,primary,single-secondary,yes,yes,-1122,yes,yes,telephone,25,jul,864,38,349,14,failure,no,0
68,7,N,blue-collar,70000,married,primary,single-tertiary,yes,no,2251,yes,no,unknown,26,oct,755,30,442,14,unknown,yes,0
32,3,N,admin.,120000,single,secondary,single-secondary,no,yes,1797,no,yes,cellular,1,may,1360,20,269,58,other,yes,0
52,8,N,unemployed,0,married,secondary,single-secondary,no,no,-797,yes,yes,telephone,29,feb,973,33,101,1,success,yes,1
90,5,Y,housemaid,55000,married,unknown,single-primary,no,yes,3480,yes,no,unknown,13,may,267,55,328,9,success,yes,1
45,9,N,housemaid,50000,married,secondary,married-tertiary,no,no,2621,yes,no,cellular,16,jun,47,33,9,17,success,yes,1
31,1,Y,unknown,4000,married,secondary,single-tertiary,yes,no,3363,yes,no,telephone,18,jan,39,20,5,41,other,no,1
58,7,N,housemaid,120000,divorced,unknown,single-primary,yes,yes,781,no,yes,unknown,11,oct,617,21,334,275,failure,yes,0
18,8,Y,entrepreneur,4000,married,secondary,divorced-secondary,yes,yes,3321,no,yes,unknown,24,sep,576,22,193,14,failure,no,0
93,5,Y,entrepreneur,50000,single,secondary,single-tertiary,yes,yes,6056,yes,yes,cellular,21,oct,1381,1,749,23,success,yes,1
26,9,Y,admin.,20000,married,tertiary,divorced-unknown,yes,no,61,no,yes,telephone,13,may,362,26,124,11,other,no,1
42,2,N,entrepreneur,8000,divorced,secondary,married-tertiary,no,yes,-184,yes,yes,unknown,19,may,771,19,463,38,other,yes,0
70,3,N,services,55000,married,secondary,single-unknown,no,yes,1321,no,no,unknown,25,mar,298,25,771,4,success,no,1
55,9,N,management,120000,married,unknown,married-primary,no,no,800,yes,no,telephone,13,nov,1068,14,341,19,failure,yes,0
84,9,N,retired,55000,married,secondary,married-secondary,no,yes,3909,yes,yes,unknown,21,jun,510,30,1,14,other,yes,1
60,6,Y,student,0,divorced,unknown,divorced-tertiary,yes,yes,253,no,no,unknown,11,jan,146,23,118,15,success,no,0
19,4,Y,services,16000,married,unknown,married-tertiary,no,yes,1865,no,yes,cellular,11,jan,965,27,71,28,unknown,yes,0
46,1,N,blue-collar,120000,divorced,primary,married-tertiary,no,no,3338,yes,no,cellular,16,may,745,11,102,11,unknown,yes,1
38,2,Y,services,55000,divorced,primary,divorced-unknown,yes,no,6683,yes,no,cellular,18,jan,1563,14,168,21,failure,no,1
66,7,N,blue-collar,70000,married,unknown,divorced-unknown,no,no,61,yes,no,telephone,21,jan,586,11,293,35,success,yes,1
23,4,N,unknown,16000,divorced,primary,divorced-secondary,yes,yes,5012,no,yes,unknown,16,jan,878,23,385,22,other,no,1
64,2,N,services,16000,single,tertiary,single-secondary,yes,no,861,yes,no,unknown,10,mar,765,41,421,9,unknown,no,1
36,1,Y,technician,120000,married,primary,divorced-secondary,no,yes,6808,yes,yes,telephone,25,nov,1051,33,250,40,success,yes,1
55,3,N,management,16000,single,tertiary,married-tertiary,no,no,1492,no,yes,unknown,27,jan,967,33,300,55,success,no,1
69,6,Y,management,50000,divorced,secondary,single-secondary,no,yes,855,yes,yes,telephone,12,feb,1282,16,184,26,success,yes,1
75,4,N,entrepreneur,8000,divorced,secondary,single-primary,yes,no,512,no,yes,telephone,15,oct,922,21,5,38,unknown,no,0
87,1,N,student,60000,divorced,unknown,single-secondary,no,yes,4960,no,no,unknown,15,jun,568,30,589,13,failure,no,1
43,3,Y,entrepreneur,0,single,tertiary,single-tertiary,no,no,1212,yes,no,cellular,11,mar,1778,33,334,18,failure,no,1
21,6,Y,housemaid,0,divorced,unknown,divorced-tertiary,no,no,7687,yes,yes,unknown,21,aug,924,36,134,25,other,yes,1
69,6,Y,retired,20000,divorced,tertiary,divorced-primary,no,yes,-933,yes,no,cellular,18,jul,563,14,-1,17,other,yes,1
26,4,N,retired,0,single,secondary,divorced-tertiary,no,no,639,no,no,cellular,28,dec,2653,33,59,19,unknown,yes,1
39,1,Y,entrepreneur,100000,divorced,tertiary,married-secondary,no,yes,5367,no,yes,unknown,21,oct,659,6,266,23,failure,no,0
53,9,Y,entrepreneur,70000,single,primary,married-primary,no,yes,2589,no,no,telephone,31,mar,1534,2,55,0,failure,yes,1
67,5,Y,services,60000,single,primary,divorced-secondary,no,no,22867,no,yes,telephone,3,feb,1327,19,150,40,unknown,no,0
66,1,Y,unemployed,20000,single,tertiary,divorced-tertiary,no,yes,9725,no,no,telephone,6,sep,1313,26,674,55,unknown,yes,0
22,5,Y,services,70000,divorced,tertiary,married-unknown,no,yes,1219,yes,no,cellular,17,aug,118,29,364,23,failure,no,1
83,6,Y,management,55000,single,tertiary,married-tertiary,no,no,10357,yes,yes,unknown,11,apr,116,1,157,14,success,yes,0
31,3,N,admin.,55000,divorced,tertiary,divorced-primary,no,yes,108,yes,no,unknown,24,jul,391,8,38,27,unknown,yes,1
20,4,N,housemaid,70000,married,unknown,single-tertiary,no,yes,6449,no,yes,unknown,19,jan,1124,51,459,21,failure,yes,0
58,4,Y,management,0,divorced,unknown,divorced-secondary,no,yes,1132,no,no,unknown,31,may,965,9,555,16,unknown,no,0
19,4,Y,student,4000,married,tertiary,single-primary,no,yes,1521,yes,no,cellular,24,sep,128,7,115,6,success,no,0
75,7,N,unemployed,55000,married,tertiary,single-secondary,no,no,2470,no,no,unknown,2,jul,1203,25,444,37,other,yes,0
89,7,Y,technician,4000,divorced,tertiary,married-unknown,yes,no,1223,no,no,cellular,30,oct,3284,43,435,8,unknown,no,1
53,1,N,retired,60000,single,primary,single-secondary,no,yes,3762,no,no,unknown,7,oct,308,38,222,3,unknown,yes,0
