id,Duration in months,Credit history,Purpose of the credit,Credit amount,Status of savings account/bonds,Present employment(years),Installment rate in percentage of disposable income,personal_status,Other debtors / guarantors,Present residence since X years,Property,Age in years,Other installment plans (banks/stores),Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,Foreign worker,Status of existing checking account
1020,37,all paid,radio/tv,13642,no known savings,1<=X<4,4,male mar/wid,none,2,no known property,74,stores,own,4,unskilled resident,1,none,no,bad
1021,51,delayed previously,education,14696,500<=X<1000,1<=X<4,3,male div/sep,co applicant,3,real estate,63,none,own,3,unemp/unskilled non res,2,none,no,good
1022,58,delayed previously,domestic appliance,17839,100<=X<500,4<=X<7,2,male div/sep,guarantor,4,no known property,73,none,own,3,high qualif/self emp/mgmt,2,none,no,good
1023,33,critical/other existing credit,other,2839,>=1000,unemployed,3,male div/sep,guarantor,1,no known property,32,bank,rent,2,unskilled resident,1,none,yes,good
1024,45,critical/other existing credit,domestic appliance,8819,>=1000,>=7,4,male single,co applicant,3,life insurance,35,bank,own,3,high qualif/self emp/mgmt,1,none,no,good
1025,48,no credits/all paid,used car,938,500<=X<1000,<1,2,male single,none,3,no known property,54,stores,own,3,high qualif/self emp/mgmt,1,none,yes,good
1026,20,existing paid,new car,13438,500<=X<1000,<1,4,female div/dep/mar,co applicant,4,no known property,47,bank,own,3,high qualif/self emp/mgmt,1,yes,yes,good
1027,70,existing paid,furniture/equipment,1847,100<=X<500,1<=X<4,2,male div/sep,none,3,car,36,none,for free,1,skilled,1,none,no,bad
1028,67,critical/other existing credit,business,13330,<100,unemployed,4,male div/sep,co applicant,4,no known property,46,none,rent,2,skilled,1,yes,yes,bad
1029,72,existing paid,business,13304,<100,4<=X<7,3,male single,none,4,car,59,bank,rent,1,high qualif/self emp/mgmt,1,none,no,good
1030,19,critical/other existing credit,retraining,16550,no known savings,1<=X<4,4,male mar/wid,co applicant,2,no known property,70,stores,rent,2,skilled,2,yes,no,good
1031,61,no credits/all paid,furniture/equipment,1743,<100,4<=X<7,1,male mar/wid,co applicant,4,real estate,63,stores,for free,4,high qualif/self emp/mgmt,1,yes,no,bad
1032,53,no credits/all paid,repairs,5942,<100,1<=X<4,1,male single,co applicant,4,real estate,40,bank,for free,2,skilled,1,none,yes,good
1033,31,existing paid,repairs,5812,100<=X<500,unemployed,1,male single,guarantor,4,car,39,none,for free,3,skilled,1,none,no,bad
1034,54,all paid,education,7312,<100,<1,2,male single,none,1,life insurance,36,none,own,2,skilled,2,yes,yes,good
1035,25,critical/other existing credit,furniture/equipment,5544,100<=X<500,unemployed,3,male mar/wid,co applicant,2,real estate,32,none,own,1,high qualif/self emp/mgmt,1,yes,no,good
1036,70,critical/other existing credit,domestic appliance,8886,<100,unemployed,3,male single,co applicant,4,no known property,68,none,rent,1,unemp/unskilled non res,1,yes,yes,good
1037,69,existing paid,retraining,11416,500<=X<1000,unemployed,3,male mar/wid,co applicant,4,real estate,53,none,own,3,unemp/unskilled non res,1,yes,yes,bad
1038,48,all paid,repairs,853,<100,<1,3,male mar/wid,none,3,no known property,50,stores,own,3,high qualif/self emp/mgmt,2,none,no,bad
1039,43,all paid,new car,8429,<100,1<=X<4,1,male single,co applicant,1,life insurance,66,bank,rent,2,high qualif/self emp/mgmt,2,none,yes,good
1040,48,existing paid,retraining,16289,100<=X<500,unemployed,2,male div/sep,guarantor,1,real estate,65,stores,rent,4,unskilled resident,2,yes,no,bad
1041,42,critical/other existing credit,furniture/equipment,8803,>=1000,<1,3,male div/sep,co applicant,2,car,50,stores,rent,1,unemp/unskilled non res,2,none,yes,bad
1042,49,no credits/all paid,other,7779,<100,1<=X<4,1,male single,guarantor,1,real estate,28,bank,rent,1,unskilled resident,1,yes,no,bad
1043,47,delayed previously,used car,13476,no known savings,>=7,1,female div/dep/mar,guarantor,2,car,62,none,own,1,unemp/unskilled non res,1,none,yes,good
1044,40,all paid,domestic appliance,5914,>=1000,unemployed,4,female div/dep/mar,none,4,no known property,58,bank,for free,1,high qualif/self emp/mgmt,1,yes,no,bad
1045,40,all paid,furniture/equipment,4987,500<=X<1000,<1,1,male single,co applicant,3,no known property,70,none,own,4,skilled,1,yes,yes,bad
1046,14,critical/other existing credit,new car,17660,500<=X<1000,<1,3,female div/dep/mar,none,3,real estate,61,stores,own,1,unemp/unskilled non res,1,yes,no,good
1047,47,no credits/all paid,new car,11375,100<=X<500,unemployed,1,male div/sep,none,2,no known property,35,bank,own,4,high qualif/self emp/mgmt,1,yes,no,good
1048,63,critical/other existing credit,domestic appliance,1616,>=1000,>=7,4,female div/dep/mar,none,1,real estate,32,none,for free,4,unskilled resident,1,yes,no,bad
1049,56,delayed previously,education,17431,no known savings,1<=X<4,1,male single,co applicant,1,life insurance,60,none,for free,4,unemp/unskilled non res,1,none,yes,good
1050,37,critical/other existing credit,used car,10826,500<=X<1000,>=7,4,male div/sep,co applicant,1,car,40,bank,own,3,skilled,2,none,no,bad
1051,44,existing paid,radio/tv,17900,500<=X<1000,unemployed,1,male mar/wid,guarantor,2,no known property,34,stores,for free,2,high qualif/self emp/mgmt,1,none,no,bad
1052,31,delayed previously,furniture/equipment,1414,100<=X<500,>=7,4,male single,co applicant,4,life insurance,68,bank,own,1,skilled,2,none,no,good
1053,61,delayed previously,used car,472,500<=X<1000,unemployed,2,male div/sep,none,4,no known property,60,stores,own,1,unemp/unskilled non res,1,yes,no,bad
1054,60,no credits/all paid,business,874,100<=X<500,unemployed,3,male mar/wid,guarantor,4,life insurance,50,bank,rent,4,skilled,1,yes,no,bad
1055,69,delayed previously,retraining,9119,500<=X<1000,>=7,3,female div/dep/mar,co applicant,4,real estate,65,bank,own,1,unskilled resident,2,yes,yes,bad
1056,35,all paid,repairs,11875,500<=X<1000,4<=X<7,4,male div/sep,none,4,no known property,36,stores,own,1,high qualif/self emp/mgmt,2,yes,yes,good
1057,49,no credits/all paid,radio/tv,12135,no known savings,4<=X<7,2,male div/sep,co applicant,3,real estate,55,none,rent,3,unskilled resident,2,yes,no,good
1058,15,critical/other existing credit,repairs,7034,>=1000,<1,1,male div/sep,guarantor,2,car,51,none,own,2,skilled,2,none,no,good
1059,8,no credits/all paid,education,17006,100<=X<500,1<=X<4,2,male mar/wid,co applicant,3,car,54,stores,for free,1,high qualif/self emp/mgmt,2,none,yes,bad
1060,30,all paid,retraining,15148,<100,<1,1,male div/sep,guarantor,4,car,33,bank,own,1,unemp/unskilled non res,1,yes,yes,good
1061,29,no credits/all paid,other,8007,no known savings,unemployed,1,male single,co applicant,2,no known property,47,bank,own,1,unskilled resident,2,none,no,bad
1062,68,critical/other existing credit,used car,2579,no known savings,>=7,2,male mar/wid,co applicant,4,no known property,55,none,rent,4,skilled,1,yes,yes,good
1063,48,delayed previously,education,2484,>=1000,>=7,3,male mar/wid,none,4,real estate,28,none,rent,3,unemp/unskilled non res,2,yes,no,bad
1064,28,no credits/all paid,used car,8689,100<=X<500,1<=X<4,1,male div/sep,guarantor,3,real estate,50,none,for free,2,high qualif/self emp/mgmt,2,yes,yes,bad
1065,11,existing paid,new car,17851,<100,unemployed,2,male mar/wid,none,4,life insurance,28,stores,rent,4,high qualif/self emp/mgmt,2,yes,no,good
1066,13,existing paid,other,8128,no known savings,<1,2,male single,co applicant,2,car,48,none,own,1,high qualif/self emp/mgmt,2,yes,yes,good
1067,13,no credits/all paid,domestic appliance,6993,500<=X<1000,unemployed,1,female div/dep/mar,none,3,no known property,71,none,for free,4,unskilled resident,2,none,no,bad
1068,18,all paid,new car,2635,<100,<1,1,male single,none,3,no known property,32,none,for free,4,high qualif/self emp/mgmt,1,yes,no,bad
1069,8,all paid,retraining,12514,>=1000,>=7,4,male mar/wid,guarantor,4,real estate,26,none,own,2,unemp/unskilled non res,2,yes,no,good
1070,57,existing paid,furniture/equipment,1111,no known savings,1<=X<4,2,male single,co applicant,1,life insurance,74,bank,own,2,skilled,2,none,no,good
1071,70,delayed previously,retraining,733,<100,unemployed,2,male mar/wid,none,2,no known property,45,stores,own,4,skilled,1,yes,yes,bad
1072,27,all paid,used car,12480,100<=X<500,>=7,3,female div/dep/mar,co applicant,1,real estate,41,stores,rent,2,high qualif/self emp/mgmt,1,none,no,good
1073,64,critical/other existing credit,business,17644,no known savings,1<=X<4,3,male single,co applicant,2,no known property,32,none,rent,3,unemp/unskilled non res,2,none,no,good
1074,16,delayed previously,retraining,16439,no known savings,1<=X<4,2,male mar/wid,none,4,life insurance,64,none,rent,1,skilled,1,none,yes,good
1075,19,no credits/all paid,repairs,9951,no known savings,unemployed,1,male single,guarantor,3,no known property,48,bank,for free,4,skilled,2,none,yes,bad
1076,27,no credits/all paid,education,15296,no known savings,<1,4,male mar/wid,co applicant,3,life insurance,47,none,own,3,unskilled resident,2,yes,yes,bad
1077,18,critical/other existing credit,used car,10482,100<=X<500,4<=X<7,2,male div/sep,guarantor,3,life insurance,75,bank,for free,4,unemp/unskilled non res,1,none,no,good
1078,67,critical/other existing credit,retraining,14843,<100,>=7,2,female div/dep/mar,guarantor,1,real estate,55,stores,own,3,skilled,2,none,no,bad
1079,43,delayed previously,retraining,14843,>=1000,4<=X<7,1,female div/dep/mar,guarantor,1,life insurance,65,bank,rent,2,unemp/unskilled non res,1,none,no,bad
1080,45,all paid,furniture/equipment,364,>=1000,>=7,1,female div/dep/mar,guarantor,3,no known property,27,stores,own,3,unemp/unskilled non res,2,none,yes,bad
1081,13,delayed previously,other,15157,500<=X<1000,unemployed,3,male div/sep,guarantor,3,real estate,26,bank,rent,1,unemp/unskilled non res,1,yes,yes,good
1082,15,critical/other existing credit,education,11836,<100,4<=X<7,3,male single,guarantor,3,life insurance,31,none,for free,4,unemp/unskilled non res,2,none,yes,good
1083,63,no credits/all paid,used car,10588,500<=X<1000,<1,1,male div/sep,co applicant,4,no known property,65,stores,for free,1,high qualif/self emp/mgmt,2,yes,no,bad
1084,71,no credits/all paid,business,8635,<100,>=7,1,female div/dep/mar,co applicant,1,car,42,bank,for free,1,unskilled resident,1,yes,yes,bad
1085,38,all paid,education,8179,>=1000,>=7,3,male single,none,4,life insurance,23,none,for free,3,unskilled resident,2,yes,yes,good
1086,63,critical/other existing credit,domestic appliance,1625,500<=X<1000,1<=X<4,2,female div/dep/mar,none,1,life insurance,65,none,rent,3,high qualif/self emp/mgmt,1,none,no,good
1087,49,critical/other existing credit,other,10038,500<=X<1000,1<=X<4,4,female div/dep/mar,guarantor,4,car,19,none,for free,2,skilled,2,none,yes,bad
1088,54,all paid,business,5604,no known savings,>=7,2,female div/dep/mar,guarantor,1,car,71,bank,rent,4,unemp/unskilled non res,2,yes,yes,good
1089,17,existing paid,repairs,706,500<=X<1000,<1,4,male single,co applicant,2,life insurance,29,stores,rent,2,skilled,2,yes,no,good
1090,67,existing paid,other,7265,100<=X<500,1<=X<4,1,female div/dep/mar,none,3,life insurance,64,bank,rent,1,unemp/unskilled non res,2,yes,no,bad
1091,55,all paid,radio/tv,16139,>=1000,4<=X<7,2,male single,none,1,car,71,bank,rent,2,high qualif/self emp/mgmt,2,yes,yes,bad
1092,5,no credits/all paid,radio/tv,4311,100<=X<500,>=7,1,female div/dep/mar,co applicant,1,no known property,70,stores,for free,1,unskilled resident,1,none,no,bad
1093,52,delayed previously,business,10565,no known savings,>=7,2,male div/sep,guarantor,4,car,64,bank,own,1,unemp/unskilled non res,2,yes,no,bad
1094,52,delayed previously,business,1615,500<=X<1000,<1,4,female div/dep/mar,co applicant,2,life insurance,41,none,for free,2,high qualif/self emp/mgmt,1,yes,no,good
1095,18,critical/other existing credit,new car,15713,500<=X<1000,>=7,3,female div/dep/mar,none,3,no known property,24,bank,rent,4,skilled,2,yes,yes,good
1096,27,critical/other existing credit,education,2118,500<=X<1000,<1,3,male mar/wid,none,3,real estate,47,none,rent,2,unskilled resident,1,none,yes,good
1097,16,all paid,other,797,>=1000,1<=X<4,1,male div/sep,guarantor,3,life insurance,60,none,for free,1,unemp/unskilled non res,1,none,no,good
1098,13,delayed previously,used car,7425,no known savings,unemployed,3,female div/dep/mar,co applicant,4,real estate,21,bank,for free,2,high qualif/self emp/mgmt,1,none,yes,bad
1099,46,existing paid,furniture/equipment,8626,<100,unemployed,1,female div/dep/mar,co applicant,3,real estate,71,stores,own,1,high qualif/self emp/mgmt,2,yes,yes,bad
1100,49,existing paid,domestic appliance,2962,<100,>=7,2,male div/sep,none,3,car,68,none,for free,1,skilled,1,none,no,good
1101,17,no credits/all paid,repairs,13257,500<=X<1000,<1,3,male mar/wid,guarantor,4,no known property,50,none,own,3,unskilled resident,2,yes,yes,good
1102,56,existing paid,radio/tv,5056,>=1000,1<=X<4,3,male mar/wid,guarantor,3,life insurance,35,bank,rent,2,unemp/unskilled non res,1,yes,no,bad
1103,32,existing paid,radio/tv,14867,100<=X<500,1<=X<4,1,male single,none,3,real estate,47,bank,for free,3,skilled,2,yes,no,bad
1104,21,delayed previously,new car,4647,100<=X<500,4<=X<7,3,male single,none,3,car,19,stores,rent,1,unemp/unskilled non res,1,none,no,good
1105,43,delayed previously,education,8349,no known savings,1<=X<4,2,female div/dep/mar,none,3,real estate,19,stores,own,3,high qualif/self emp/mgmt,1,yes,yes,bad
1106,60,no credits/all paid,repairs,3048,<100,4<=X<7,2,male mar/wid,co applicant,2,real estate,70,none,own,4,skilled,2,none,yes,good
1107,68,all paid,new car,727,<100,<1,1,male single,none,3,car,40,none,rent,3,unskilled resident,2,yes,yes,good
1108,26,all paid,new car,7330,100<=X<500,>=7,4,male mar/wid,co applicant,3,car,51,none,own,4,high qualif/self emp/mgmt,1,yes,yes,good
1109,49,no credits/all paid,education,6706,500<=X<1000,unemployed,3,male single,guarantor,4,car,32,none,own,2,high qualif/self emp/mgmt,2,yes,yes,bad
1110,11,all paid,radio/tv,16782,500<=X<1000,4<=X<7,3,male div/sep,co applicant,3,no known property,33,none,for free,2,unskilled resident,1,yes,yes,bad
1111,50,critical/other existing credit,other,18059,<100,unemployed,1,male single,none,2,real estate,41,none,own,2,unemp/unskilled non res,1,none,yes,bad
1112,44,existing paid,used car,4943,100<=X<500,4<=X<7,3,male single,co applicant,3,real estate,32,bank,for free,1,unemp/unskilled non res,2,yes,yes,good
1113,25,no credits/all paid,business,9982,500<=X<1000,>=7,4,male single,co applicant,3,no known property,23,bank,own,4,unemp/unskilled non res,1,yes,no,bad
1114,24,no credits/all paid,education,8376,100<=X<500,1<=X<4,4,male single,none,3,no known property,50,bank,rent,2,unskilled resident,2,none,no,good
1115,8,no credits/all paid,education,3504,no known savings,unemployed,4,female div/dep/mar,none,3,car,69,none,rent,3,skilled,2,yes,yes,bad
1116,30,no credits/all paid,furniture/equipment,1348,<100,4<=X<7,2,male mar/wid,co applicant,1,car,61,none,rent,4,unemp/unskilled non res,1,yes,no,bad
1117,56,delayed previously,education,16264,500<=X<1000,<1,3,female div/dep/mar,none,4,car,24,stores,rent,4,skilled,2,none,yes,bad
1118,39,all paid,retraining,16381,no known savings,4<=X<7,3,male single,guarantor,1,life insurance,41,bank,rent,2,unskilled resident,1,yes,no,bad
1119,28,existing paid,other,3813,500<=X<1000,4<=X<7,2,male div/sep,none,2,life insurance,63,none,own,2,unskilled resident,1,none,yes,good
1120,46,all paid,business,3944,100<=X<500,4<=X<7,3,male div/sep,co applicant,1,car,50,none,own,2,unemp/unskilled non res,1,none,yes,good
1121,43,no credits/all paid,retraining,14740,no known savings,unemployed,1,female div/dep/mar,co applicant,4,life insurance,32,bank,rent,4,unskilled resident,2,none,yes,bad
1122,46,no credits/all paid,radio/tv,14941,>=1000,1<=X<4,3,male mar/wid,guarantor,3,no known property,35,bank,for free,4,high qualif/self emp/mgmt,1,none,yes,good
1123,60,critical/other existing credit,used car,3113,100<=X<500,1<=X<4,2,male mar/wid,none,3,car,49,none,rent,3,unskilled resident,2,none,no,good
1124,62,delayed previously,domestic appliance,17011,>=1000,>=7,1,male single,guarantor,2,no known property,34,stores,rent,2,unskilled resident,2,yes,no,good
1125,36,no credits/all paid,furniture/equipment,8013,<100,4<=X<7,4,female div/dep/mar,co applicant,2,car,29,bank,rent,4,high qualif/self emp/mgmt,1,none,no,bad
1126,52,delayed previously,domestic appliance,10926,500<=X<1000,1<=X<4,2,male single,co applicant,1,no known property,68,bank,rent,4,high qualif/self emp/mgmt,2,none,yes,bad
1127,38,no credits/all paid,furniture/equipment,4200,>=1000,1<=X<4,4,male div/sep,none,3,life insurance,22,bank,for free,4,unemp/unskilled non res,2,yes,no,bad
1128,57,delayed previously,radio/tv,10771,500<=X<1000,1<=X<4,2,female div/dep/mar,co applicant,2,life insurance,50,none,rent,3,skilled,1,yes,no,bad
1129,45,delayed previously,furniture/equipment,15720,>=1000,unemployed,3,male mar/wid,co applicant,1,no known property,74,bank,rent,3,unskilled resident,2,yes,no,bad
1130,66,delayed previously,new car,14784,100<=X<500,4<=X<7,4,male mar/wid,co applicant,1,no known property,51,none,own,2,high qualif/self emp/mgmt,2,none,no,bad
1131,44,critical/other existing credit,domestic appliance,17011,>=1000,1<=X<4,3,male single,guarantor,1,no known property,20,stores,for free,3,skilled,1,yes,no,good
1132,50,delayed previously,used car,16819,100<=X<500,4<=X<7,1,male single,guarantor,2,real estate,51,stores,for free,1,unemp/unskilled non res,1,none,no,bad
1133,21,all paid,retraining,9136,>=1000,<1,3,male div/sep,guarantor,3,life insurance,68,stores,for free,1,skilled,1,none,no,bad
1134,18,critical/other existing credit,domestic appliance,15339,no known savings,1<=X<4,1,male mar/wid,none,2,car,35,bank,rent,3,unemp/unskilled non res,2,yes,no,bad
1135,44,existing paid,furniture/equipment,4154,<100,unemployed,4,female div/dep/mar,guarantor,1,car,42,none,rent,2,high qualif/self emp/mgmt,1,yes,yes,good
1136,38,existing paid,domestic appliance,9469,>=1000,<1,3,male mar/wid,co applicant,4,no known property,47,stores,own,2,high qualif/self emp/mgmt,1,none,no,bad
1137,4,all paid,used car,11955,100<=X<500,<1,3,male div/sep,none,4,car,27,none,own,4,skilled,2,yes,no,bad
1138,47,delayed previously,business,9396,500<=X<1000,1<=X<4,1,male div/sep,co applicant,2,no known property,73,bank,own,3,skilled,1,none,no,bad
1139,42,no credits/all paid,retraining,3774,<100,unemployed,3,female div/dep/mar,none,4,car,60,stores,rent,1,high qualif/self emp/mgmt,1,none,no,good
1140,60,no credits/all paid,radio/tv,16655,no known savings,1<=X<4,1,female div/dep/mar,none,4,life insurance,38,none,own,1,high qualif/self emp/mgmt,2,none,no,good
1141,51,no credits/all paid,other,3032,no known savings,1<=X<4,1,male single,none,3,no known property,36,bank,rent,3,unskilled resident,2,none,yes,bad
1142,66,existing paid,repairs,1163,500<=X<1000,1<=X<4,2,female div/dep/mar,guarantor,4,real estate,50,stores,for free,1,skilled,2,none,no,bad
1143,68,no credits/all paid,education,15835,<100,<1,4,female div/dep/mar,co applicant,2,life insurance,57,none,for free,3,skilled,2,none,yes,good
1144,40,existing paid,retraining,2427,500<=X<1000,>=7,2,female div/dep/mar,co applicant,2,life insurance,44,none,for free,3,high qualif/self emp/mgmt,2,yes,no,good
1145,68,critical/other existing credit,domestic appliance,10820,500<=X<1000,unemployed,4,male single,co applicant,1,real estate,60,bank,for free,1,unskilled resident,2,none,no,good
1146,42,all paid,radio/tv,7308,no known savings,<1,2,male div/sep,co applicant,3,life insurance,72,none,own,2,high qualif/self emp/mgmt,1,yes,no,good
1147,55,delayed previously,education,14371,<100,>=7,1,male single,co applicant,2,no known property,49,none,own,3,skilled,2,none,yes,good
1148,48,critical/other existing credit,radio/tv,7376,<100,4<=X<7,2,male single,co applicant,3,no known property,19,bank,rent,3,unskilled resident,1,none,no,good
1149,52,critical/other existing credit,repairs,14897,<100,1<=X<4,3,female div/dep/mar,co applicant,4,no known property,25,bank,rent,3,high qualif/self emp/mgmt,2,yes,yes,bad
1150,18,delayed previously,business,3372,500<=X<1000,4<=X<7,2,male single,guarantor,4,life insurance,36,none,rent,1,unskilled resident,1,yes,yes,good
1151,44,all paid,domestic appliance,4639,500<=X<1000,1<=X<4,1,male div/sep,co applicant,3,car,38,none,own,2,high qualif/self emp/mgmt,2,yes,yes,good
1152,67,delayed previously,education,5163,100<=X<500,1<=X<4,4,female div/dep/mar,co applicant,1,real estate,27,stores,own,3,skilled,2,none,yes,bad
1153,69,no credits/all paid,repairs,10448,100<=X<500,1<=X<4,3,male single,guarantor,3,real estate,37,stores,for free,2,skilled,2,none,yes,good
1154,61,all paid,domestic appliance,783,no known savings,1<=X<4,4,female div/dep/mar,guarantor,2,no known property,59,stores,own,2,skilled,2,yes,yes,bad
1155,61,critical/other existing credit,used car,11493,500<=X<1000,4<=X<7,1,female div/dep/mar,co applicant,3,life insurance,65,bank,own,3,high qualif/self emp/mgmt,1,none,yes,good
1156,62,no credits/all paid,other,4970,no known savings,1<=X<4,2,male mar/wid,none,4,no known property,34,none,rent,1,unskilled resident,2,none,yes,good
1157,29,all paid,radio/tv,7898,100<=X<500,unemployed,4,male mar/wid,none,1,life insurance,43,none,for free,2,unskilled resident,1,none,no,bad
1158,16,delayed previously,other,17770,>=1000,>=7,2,male single,none,1,no known property,33,bank,own,1,high qualif/self emp/mgmt,1,yes,no,bad
1159,60,critical/other existing credit,retraining,11996,<100,>=7,4,male mar/wid,guarantor,4,life insurance,26,stores,rent,1,high qualif/self emp/mgmt,2,yes,yes,good
1160,57,existing paid,furniture/equipment,8201,>=1000,unemployed,4,male single,guarantor,3,life insurance,20,none,own,3,unskilled resident,1,none,no,good
1161,48,delayed previously,radio/tv,5504,100<=X<500,1<=X<4,1,female div/dep/mar,none,1,life insurance,24,stores,rent,3,high qualif/self emp/mgmt,1,none,no,good
1162,24,delayed previously,retraining,9524,no known savings,unemployed,3,male mar/wid,none,4,no known property,64,bank,own,2,unskilled resident,1,yes,no,good
1163,46,existing paid,repairs,3132,>=1000,unemployed,1,female div/dep/mar,co applicant,2,real estate,22,stores,own,4,high qualif/self emp/mgmt,1,yes,yes,bad
1164,52,no credits/all paid,education,4280,100<=X<500,>=7,4,male single,none,1,car,33,stores,rent,2,unskilled resident,2,yes,no,bad
1165,35,critical/other existing credit,business,6746,<100,4<=X<7,3,male div/sep,co applicant,1,real estate,63,stores,for free,1,skilled,1,yes,no,good
1166,32,all paid,used car,8574,<100,<1,2,male div/sep,none,1,no known property,39,bank,own,3,unskilled resident,2,none,yes,bad
1167,39,existing paid,furniture/equipment,14362,<100,4<=X<7,1,male single,none,1,car,72,none,own,1,high qualif/self emp/mgmt,1,none,no,bad
1168,15,all paid,furniture/equipment,5741,<100,<1,3,male mar/wid,guarantor,3,no known property,19,stores,for free,3,skilled,2,none,no,good
1169,26,delayed previously,repairs,3228,no known savings,>=7,3,male mar/wid,none,1,no known property,69,stores,own,4,skilled,1,none,yes,bad
1170,36,no credits/all paid,furniture/equipment,8405,500<=X<1000,>=7,1,male mar/wid,none,4,no known property,63,none,for free,1,skilled,2,yes,no,bad
1171,68,delayed previously,used car,3582,no known savings,1<=X<4,3,female div/dep/mar,none,4,no known property,40,bank,own,3,unemp/unskilled non res,1,none,no,bad
1172,23,no credits/all paid,business,4188,500<=X<1000,1<=X<4,1,male single,none,1,no known property,22,stores,rent,2,skilled,1,none,yes,good
1173,24,delayed previously,furniture/equipment,7132,500<=X<1000,unemployed,4,female div/dep/mar,none,3,life insurance,45,stores,own,2,unemp/unskilled non res,2,none,yes,bad
1174,36,delayed previously,other,14127,>=1000,unemployed,4,male div/sep,co applicant,4,real estate,25,stores,for free,4,high qualif/self emp/mgmt,2,none,no,bad
1175,67,existing paid,business,14093,>=1000,1<=X<4,3,male mar/wid,none,3,life insurance,71,bank,own,4,skilled,1,yes,yes,bad
1176,61,all paid,other,10649,<100,unemployed,4,male div/sep,none,1,car,58,none,for free,4,unskilled resident,1,yes,no,good
1177,10,critical/other existing credit,domestic appliance,1139,no known savings,4<=X<7,4,male mar/wid,guarantor,2,real estate,37,bank,rent,4,unemp/unskilled non res,1,none,yes,good
1178,46,all paid,domestic appliance,14550,no known savings,>=7,4,female div/dep/mar,guarantor,3,life insurance,39,bank,for free,1,high qualif/self emp/mgmt,2,yes,no,bad
1179,18,all paid,furniture/equipment,5000,no known savings,<1,4,male div/sep,none,1,real estate,24,stores,rent,4,unemp/unskilled non res,2,yes,yes,good
1180,8,all paid,used car,11907,no known savings,4<=X<7,4,male mar/wid,none,1,real estate,49,stores,rent,1,skilled,2,yes,no,good
1181,40,existing paid,other,11563,no known savings,<1,3,female div/dep/mar,co applicant,1,life insurance,70,bank,for free,2,unskilled resident,2,yes,yes,bad
